SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGZ,DMDHREDZ,DMDHRMAZ,DMDHSEDZ,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,gender_f,edu_f,language_f
97530,10,2,2,11,.,3,3,2,133,.,.,1,1,.,5,.,.,.,1,1,2,1,2,2,1,2,2,.,3,3,0,1,0,1,2,2,1,2,15711.959603171947,19557.554839344575,1,135,14,14,4.41,Female,HS,English
97531,10,2,2,23,.,2,2,1,.,2,.,1,1,.,.,4,6,2,1,2,2,1,2,2,1,2,2,1,2,1,0,0,0,1,2,3,1,.,69726.31084418483,74519.759366986,1,139,15,6,2.65,Female,College,English
97532,10,2,1,28,.,4,4,2,.,2,.,1,1,.,.,3,1,.,1,2,2,1,2,2,1,2,2,1,4,4,1,1,0,1,2,2,1,2,35909.205555684275,37651.19161334888,1,138,14,14,3.25,Male,HS,English
97533,10,2,1,30,.,5,6,2,.,2,.,2,1,2,.,5,6,.,1,2,2,1,2,2,1,2,2,1,2,1,0,0,0,1,2,3,1,.,17772.177025467856,17451.354683155194,2,134,15,14,5,Male,College,English
97534,10,2,1,0,9,4,4,2,10,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,7,6,2,1,1,1,2,.,1,2,9419.046231221255,9669.645318185243,1,143,9,7,1.29,Male,.,English
97535,10,2,2,63,.,2,2,1,.,2,.,1,1,.,.,4,1,.,1,2,2,1,2,2,1,2,2,1,2,2,0,0,2,1,4,2,1,2,25359.593835309934,27089.285135234586,1,136,15,15,5,Female,HS,English
97536,10,2,1,80,.,3,3,1,.,1,1,1,1,.,.,2,6,.,1,2,2,1,2,2,1,2,2,.,2,1,0,0,2,2,4,1,1,.,8922.058739422037,11556.333944492264,1,140,.,2,0.62,Male,<HS,English
97537,10,2,2,39,.,2,2,1,.,2,.,2,1,5,.,4,6,1,1,2,2,1,2,2,1,2,2,1,3,3,1,0,0,2,2,2,1,.,45369.032216639265,47144.5966559597,1,139,6,6,1.22,Female,HS,English
97538,10,2,2,54,.,2,2,1,.,2,.,2,9,7,.,5,1,.,1,2,2,1,2,2,1,2,2,1,5,5,0,0,1,1,2,1,3,.,20739.215744307134,21999.854608554408,1,146,14,14,3.3,Female,<HS,English
97539,10,2,1,41,.,3,3,1,.,1,1,1,1,.,.,4,1,.,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,3,2,1,2,62446.2010446621,69809.66930550916,1,146,14,14,3.05,Male,HS,English
